District,Average Temperature,Cloud Cover,Crop Evapotranspiration,Maximum Temperature,Minimum Temperature,Potential Evapotranspiration,Vapour Pressure,Wet Day Frequency,Rainfall,Cluster
Ariyalur,0.6005304101838755,0.5443008120753177,0.547683923705722,0.5931349300450558,0.6495060637699782,0.5483870967741935,0.6883836810962316,0.10531973453257584,0.02217507483000975,4
Chennai,0.608097595473833,0.4219158348312745,0.6267029972752043,0.6324994071614891,0.6257730302786924,0.6476426799007445,0.6360012457178448,0.12390383903008145,0.027194390333720647,1
Coimbatore,0.4289250353606791,0.5611733659693272,0.36239782016348776,0.42868152715200386,0.4868685246164964,0.401985111662531,0.5824976642790406,0.23805517761875586,0.06455056021868513,0
Cuddalore,0.6040311173974539,0.5238204510396348,0.5613079019073571,0.6043692198245199,0.6425588306160148,0.5756823821339951,0.6602304578013081,0.10557419274430585,0.024970094197917098,4
Dharmapuri,0.4253536067892504,0.49365127930546526,0.5504087193460492,0.47830211050509847,0.40012850373464004,0.5682382133995038,0.4077234506384304,0.128241745687193,0.023218621774853974,3
Dindigul,0.31654879773691647,0.6008911156155581,0.35149863760217986,0.332582404553,0.35924825315235714,0.3970223325062036,0.4791653690439114,0.21414476075735073,0.05475584431546798,3
Erode,0.3595827439886847,0.5447661299575477,0.43324250681198906,0.39284443917476874,0.37101437635531276,0.4863523573200992,0.4651510432886951,0.19166242569647118,0.04469958663059391,3
Kancheepuram,0.5926803394625176,0.45228898152751745,0.6130790190735695,0.6204944273179984,0.6106336840414422,0.6401985111662531,0.623699781999377,0.11942225868879588,0.028898699484681704,1
Karur,0.3432814710042432,0.5807230912405502,0.4141689373297004,0.3659295707849182,0.3608143924182796,0.4516129032258065,0.4650887573964497,0.16534590737721094,0.03512044022865136,3
Madurai,0.4062942008486563,0.6206065705434657,0.3542234332425068,0.3936151292387954,0.4751827162476908,0.37593052109181146,0.5824976642790406,0.19241714529044585,0.04425820509925488,0
Nagapattinam,0.6290311173974539,0.5467612600553282,0.5,0.6003675598766897,0.704762669665087,0.533498759305211,0.7185300529430082,0.1053751267963538,0.024256451959443398,4
Namakkal,0.5179985855728428,0.5343124131512856,0.5395095367847412,0.5354813848707611,0.5329692394185205,0.5384615384615384,0.5905948302709435,0.1398204598250297,0.029322692536912415,1
Perambalur,0.5766265912305515,0.540023712089341,0.5694822888283378,0.582285985297605,0.6019596819532568,0.5483870967741935,0.652133291809405,0.11448542317958517,0.023568058745428378,4
Pudukkottai,0.5623055162659123,0.5983796738950293,0.4550408719346049,0.532517192316813,0.638181672154847,0.436724565756824,0.7136094674556209,0.09968703370965454,0.021080791637904217,4
Ramanathapuram,0.4615629420084866,0.6184457107890007,0.340599455040872,0.4226938581930283,0.5540117259657859,0.3225806451612904,0.6305823730924944,0.13268178183064508,0.027141272103019837,0
Salem,0.5502828854314001,0.5190015425606507,0.5885558583106267,0.5731859141569837,0.5490723636655691,0.5806451612903227,0.5899719713484894,0.128468507767034,0.025359548490275077,1
Sivaganga,0.5426096181046676,0.6189492739766193,0.4005449591280656,0.5014820962769742,0.6315958557545579,0.3846153846153848,0.718343195266272,0.1035662231823548,0.024323862090781197,4
Thanjavur,0.5935997171145686,0.574973546997106,0.4959128065395096,0.5671686032724685,0.6641635210023293,0.4813895781637718,0.7243849268140765,0.10609176420898117,0.02317074390772006,4
Theni,0.39791371994342284,0.6060223607552173,0.3160762942779292,0.3843964903960162,0.4716890209621715,0.3498759305210918,0.5742759265026469,0.27733348566205873,0.0807096976738979,0
The Nilgiris,0.4572489391796323,0.5211114085745974,0.346049046321526,0.4575824045529998,0.5270660991085052,0.3920595533498759,0.6143880411086887,0.22432482023479397,0.05927803987535557,0
Thiruvallur,0.5848302687411597,0.4239619586695732,0.6512261580381473,0.6334183068532133,0.581158139908441,0.6575682382133996,0.5781376518218623,0.13072747352422892,0.027255845506459705,1
Thiruvarur,0.6194483734087695,0.5934906490228323,0.5013623978201635,0.5871769030116195,0.6924745000401573,0.4888337468982632,0.7250700716287759,0.12822962862949155,0.02760409148531436,4
Thoothukkudi,0.29034653465346527,0.5709705383664154,0.2070844686648502,0.2605821674175955,0.3889245843707331,0.21091811414392067,0.48246652133291795,0.1397304473963905,0.02907306067245298,2
Tiruchirapalli,0.5034299858557286,0.5664894634183654,0.4931880108991827,0.5034088214370405,0.5346156935185928,0.4937965260545906,0.6092805979445656,0.12558811005058007,0.026469552773081304,4
Tirunelveli,0.09752475247524736,0.49559541566272736,0.10081743869209812,0.08261204647853931,0.19452252831097908,0.09057071960297769,0.29666770476487075,0.1951919515040731,0.04299218090116151,2
Tiruvannamalai,0.504101838755304,0.4813617878405425,0.6158038147138966,0.5627223144415463,0.46940004818890035,0.6277915632754343,0.4995951417004047,0.129005120322383,0.026679643712445054,1
Vellore,0.4815770862800566,0.4625514718068357,0.5994550408719347,0.5366077780412616,0.429563890450566,0.6178660049627792,0.4493927125506073,0.13164663890129447,0.02615751294250702,1
Viluppuram,0.5635431400282885,0.5018612715289197,0.6130790190735695,0.5366077780412616,0.5680266645249376,0.6228287841191068,0.5937091248832139,0.11532842419395603,0.02572494474989412,1
Virudhunagar,0.43224893917963225,0.6296834563557323,0.3269754768392371,0.4074875503912735,0.5135732069713277,0.3498759305210918,0.6106508875739644,0.19592416799088802,0.0442134238105923,0
