Data List,Models,Loss,MSE,RMSE,MAE,MDAE,EVS,R2
Chennai,None,linear,0.004597240504171183,0.06745042404455712,0.05073849805327491,0.04152957512366655,0.8306775456728829,0.7983134552907536
Chennai,None,square,0.004534090032543068,0.06695646379533489,0.04765601987257767,0.031333977490869656,0.8208490057371443,0.7994700762979509
Chennai,None,exponential,0.00526906656968507,0.07239380337513453,0.058278246447539345,0.054619978517062136,0.8245887466570365,0.7668301186526407
Chennai,MLR,linear,0.004542498885170701,0.06711314266934534,0.04882429667833645,0.037434320381943526,0.8013804857113556,0.797794767201705
Chennai,MLR,square,0.005949546518659718,0.07679856991121736,0.057299852592103635,0.04363131745754375,0.7421887916947985,0.7366350996496867
Chennai,MLR,exponential,0.00559055698792339,0.07454931809729738,0.05577370876229196,0.04305167349200793,0.7539404118434737,0.7503948564303436
Chennai,DTR(6),linear,0.003414316920306595,0.05792270901313997,0.038946361684581765,0.024406765513710012,0.8576850132415242,0.851051864032545
Chennai,DTR(6),square,0.0033555192472095874,0.05740280400047693,0.03629699603806659,0.019253187117881085,0.8586648136409849,0.8555335727360255
Chennai,DTR(6),exponential,0.003356130406128964,0.05752662304179737,0.03904767772458279,0.025549492239447743,0.8597037793753302,0.8531090977591618
Chennai,PR(2),linear,0.004476855291898836,0.06656784515148144,0.04842554470503721,0.037082530225060355,0.8065471008249873,0.8028392066799717
Chennai,PR(2),square,0.006000579426600633,0.07721036409783322,0.057528012034589224,0.04352677950854286,0.740067321736806,0.7330537275781954
Chennai,PR(2),exponential,0.005636954902216757,0.07481730924935724,0.05603563551387053,0.0430148867104343,0.7535631889242004,0.7496780754502186
Chennai,SVR(R),linear,0.005068318971317165,0.07085274471093134,0.05397408227334739,0.04478486048180882,0.7804725741462477,0.7776505195164306
Chennai,SVR(R),square,0.008373077727964147,0.09112401990182387,0.07168929252553517,0.05928319868534812,0.6307443630425646,0.625140946871299
Chennai,SVR(R),exponential,0.006204311818153462,0.078582270821341,0.061278663636445414,0.0501950684783198,0.7230805054526865,0.7205311171392321
